objectId,inSize,totalTime,generated
o45117,363,128,True
o41702,363,110,True
o36464,363,123,True
o57656,364,114,True
o81593,365,113,True
o51255,365,122,True
o77425,366,121,True
o71424,366,113,True
o17681,367,113,True
o12488,367,122,True
o63515,368,118,True
o49989,369,113,True
o12220,369,124,True
o71539,372,114,True
o33732,372,127,True
o9949,373,113,True
o68438,373,123,True
o59673,373,112,True
o41592,373,112,True
o65468,374,113,True
o47167,375,115,True
o44260,375,122,True
o85193,376,111,True
o80287,376,124,True
o47860,377,123,True
o3620,377,126,True
o89499,378,123,True
o67501,378,116,True
o42024,378,115,True
o85901,379,115,True
o76642,379,114,False
o76554,379,116,True
o25169,379,115,True
o89522,380,115,True
o3211,381,116,True
o6205,382,114,True
o84263,383,112,True
o44262,383,114,True
o12387,383,118,False
o9365,384,114,False
o2058,385,115,True
o12209,385,114,True
o70288,386,112,True
o23148,386,114,True
o76639,388,114,False
o63288,388,113,True
o60269,388,118,True
o64870,389,113,True
o40223,389,112,True
o9955,390,114,True
o62381,390,113,True
o57232,391,113,True
o83374,392,116,False
o78404,392,114,True
o68315,392,116,True
o78102,395,115,True
o68426,395,112,True
o45592,395,116,True
o36461,395,113,True
o89900,396,115,True
o7230,396,114,True
o46256,396,113,True
o85909,397,114,True
o79709,397,112,True
o60103,397,112,True
o43083,397,113,True
o41691,397,114,True
o69391,399,116,True
o27844,399,112,True
o89521,400,114,True
o62772,400,113,True
o90950,401,115,True
o13435,401,116,True
o70518,402,112,True
o26956,402,111,True
o81574,403,113,True
o17654,403,113,True
o12490,403,123,True
o74022,404,113,True
o42212,404,113,True
o21477,404,122,True
o82290,405,114,True
o71448,405,115,True
o69511,405,113,True
o26198,405,118,False
o25968,405,118,True
o67623,406,112,True
o63477,406,116,True
o35906,406,114,True
o79705,407,120,True
o60854,408,113,True
o41729,408,116,True
o6167,409,113,True
o39424,409,114,True
o9857,410,114,True
o10086,410,114,True
o39871,411,114,True
o36250,411,119,True
o82179,412,112,True
o41650,412,112,True
o28259,412,115,True
o85971,414,113,True
o41787,414,112,True
o71450,415,115,True
o55685,415,123,True
o46299,415,113,True
o10468,415,113,True
o25701,416,111,True
o73043,417,113,True
o58637,417,121,True
o43974,417,114,True
o41587,417,111,True
o68306,418,113,True
o6219,418,114,True
o41645,418,116,True
o41591,418,112,True
o76664,419,125,True
o69499,419,124,True
o24544,419,119,True
o14471,419,114,True
o83301,420,122,True
o41682,420,111,True
o29024,420,113,True
o16365,420,118,True
o81723,421,115,True
o79442,421,114,True
o61120,422,124,True
o58636,422,117,True
o46198,423,114,True
o20459,424,110,True
o10065,424,114,True
o90887,425,125,True
o42158,425,126,True
o62380,427,114,True
o60133,429,113,True
o53623,429,119,True
o46258,429,119,True
o45133,429,113,True
o71551,430,117,True
o69746,430,114,True
o9910,431,115,True
o9851,431,123,True
o90494,431,114,True
o68311,431,121,True
o66589,431,123,True
o45175,431,115,True
o83378,432,121,True
o79717,432,120,True
o44097,432,115,True
o41594,432,126,True
o26628,432,115,True
o41692,433,113,True
o72194,434,122,True
o86372,435,113,True
o79712,435,120,True
o61760,435,119,True
o31545,435,116,True
o53903,436,127,True
o48800,438,121,True
o29003,438,113,True
o21393,438,114,True
o47063,440,119,True
o40228,440,115,True
o10091,440,114,True
o79561,441,111,True
o17460,441,123,True
o28268,442,127,True
o39443,443,115,True
o89764,444,114,True
o6310,445,114,True
o58273,445,124,True
o48159,445,114,True
o63325,446,112,True
o21458,446,123,True
o9892,447,115,True
o76660,447,121,True
o10076,447,115,True
o83326,448,115,True
o65587,448,120,True
o20471,448,120,True
o20376,448,115,True
o17628,448,112,True
o76874,449,114,True
o55045,449,117,True
o54554,449,123,True
o44986,449,113,True
o13142,449,115,True
o12182,450,112,True
o46395,452,112,True
o44188,452,113,True
o19357,452,112,True
o15726,452,112,True
o85927,453,114,True
o85911,453,116,True
o77233,453,113,True
o81589,454,113,True
o3617,454,116,True
o70473,455,114,True
o74200,456,111,True
o63985,456,116,True
o28254,456,112,True
o83690,457,113,True
o83279,457,124,True
o55574,457,117,True
o25199,457,115,True
o12068,457,115,True
o69533,459,60011,False
o40349,459,121,True
o58863,460,121,True
o41690,460,121,True
o65508,461,114,True
o6233,461,121,True
o79516,462,121,True
o64892,462,120,True
o9858,464,114,True
o85202,464,114,True
o12214,464,117,True
o73920,465,114,True
o68405,465,114,True
o43977,465,123,True
o21768,465,116,True
o89789,466,113,True
o34462,466,127,True
o70331,467,116,True
o63377,467,117,True
o21725,467,113,True
o10008,467,113,True
o43294,468,113,True
o89197,469,113,True
o78134,469,114,True
o67524,470,111,True
o14324,470,113,True
o27044,471,112,True
o19359,471,112,True
o83269,472,112,True
o36516,472,116,True
o10092,474,111,True
o91002,476,111,True
o77420,476,117,True
o71444,476,111,True
o81588,477,111,True
o6331,477,114,True
o57047,477,116,True
o90440,478,114,True
o89498,479,123,True
o11187,479,122,True
o8484,480,123,True
o69514,480,117,True
o40224,480,112,True
o9842,481,161,True
o66166,481,126,True
o55349,483,116,True
o27837,483,114,True
o27395,483,118,True
o20457,484,111,True
o79449,485,114,True
o10318,485,117,True
o91103,486,111,True
o64705,486,115,True
o76477,488,119,True
o58910,488,113,True
o9938,489,118,True
o6235,489,118,True
o42167,489,114,True
o53911,490,113,True
o32735,490,115,True
o32477,490,116,True
o6246,491,112,True
o21455,491,124,True
o76656,492,122,False
o69139,492,111,True
o63949,493,113,True
o58914,493,111,True
o12222,493,111,True
o68625,494,114,True
o41049,494,114,True
o24465,494,112,True
o20470,494,112,True
o89703,495,114,True
o46362,495,113,True
o41693,496,122,True
o32963,497,114,True
o89833,498,112,True
o36463,498,113,True
o12086,498,112,True
o83726,499,116,True
o6176,499,113,True
o30283,499,115,True
o90248,500,111,True
o89560,500,115,True
o53034,500,113,True
o50163,501,115,True
o13687,502,121,True
o76659,503,121,False
o53898,503,114,True
o12643,503,126,False
o62378,504,122,True
o90969,505,117,True
o41652,505,110,True
o9765,506,112,True
o8432,506,114,True
o62757,506,120,True
o43292,506,116,True
o21861,506,114,True
o7513,507,114,True
o20468,507,120,True
o87858,508,122,True
o76678,508,113,True
o91031,509,116,True
o86524,509,121,True
o7375,509,120,True
o62771,509,113,True
o41638,509,113,True
o13947,509,120,True
o9964,511,122,True
o69498,511,117,True
o67056,511,114,True
o17139,512,114,True
o45169,513,115,True
o25983,513,122,True
o78036,514,113,True
o40222,516,112,True
o46217,517,110,True
o42291,517,123,True
o34374,517,128,True
o14451,518,114,True
o67195,519,119,True
o17674,519,115,True
o58909,520,113,True
o12644,520,114,True
o6306,521,114,True
o39138,521,124,True
o17633,521,126,True
o31092,522,115,True
o6251,523,115,True
o48869,523,115,True
o47040,523,118,True
o44190,524,121,True
o69521,525,123,True
o69508,525,120,True
o88674,526,119,True
o48007,526,121,True
o41646,526,112,True
o9876,527,117,True
o41731,527,115,True
o91028,528,115,True
o8403,528,114,True
o83692,528,115,True
o81594,528,122,True
o7488,529,125,True
o43323,529,115,True
o91101,530,122,True
o83709,530,123,True
o45182,531,123,True
o12647,531,113,True
o48516,532,122,True
o13668,532,125,False
