error,taux,objectIds
unionType,1.02%,kb_184_Normalized
type,82.65%,"kb_778_Normalized, kb_521_Normalized, kb_556_Normalized, kb_552_Normalized, kb_554_Normalized, kb_220_Normalized, kb_736_Normalized, kb_761_Normalized, kb_105_Normalized, kb_855_Normalized, kb_1027_Normalized, kb_1070_Normalized, kb_1071_Normalized, kb_169_Normalized, kb_898_Normalized, kb_897_Normalized, kb_83_Normalized, kb_955_Normalized, kb_517_Normalized, kb_516_Normalized, kb_544_Normalized, kb_210_Normalized, kb_24_Normalized, kb_445_Normalized, kb_326_Normalized, kb_324_Normalized, kb_858_Normalized, kb_305_Normalized, kb_94_Normalized, kb_93_Normalized, kb_578_Normalized, kb_529_Normalized, kb_163_Normalized, kb_494_Normalized, kb_496_Normalized, kb_495_Normalized, kb_45_Normalized, kb_328_Normalized, kb_695_Normalized, kb_770_Normalized, kb_569_Normalized, kb_449_Normalized, kb_978_Normalized, kb_366_Normalized, kb_322_Normalized, kb_399_Normalized, kb_190_Normalized, kb_192_Normalized, kb_1104_Normalized, kb_675_Normalized, kb_714_Normalized, kb_710_Normalized, kb_709_Normalized, kb_809_Normalized, kb_739_Normalized, kb_820_Normalized, kb_484_Normalized, kb_237_Normalized, kb_489_Normalized, kb_273_Normalized, kb_741_Normalized, kb_149_Normalized, kb_797_Normalized, kb_478_Normalized, kb_228_Normalized, kb_225_Normalized, kb_251_Normalized, kb_805_Normalized, kb_802_Normalized, kb_819_Normalized, kb_143_Normalized, kb_818_Normalized, kb_483_Normalized, kb_482_Normalized, kb_1008_Normalized, kb_1011_Normalized, kb_233_Normalized, kb_265_Normalized, kb_684_Normalized, kb_683_Normalized, kb_996_Normalized"
required,16.33%,"kb_408_Normalized, kb_405_Normalized, kb_404_Normalized, kb_120_Normalized, kb_119_Normalized, kb_391_Normalized, kb_734_Normalized, kb_743_Normalized, kb_738_Normalized, kb_821_Normalized, kb_485_Normalized, kb_269_Normalized, kb_151_Normalized, kb_794_Normalized, kb_815_Normalized, kb_814_Normalized"
