objectId,inSize,totalTime,generated
sp_404_Normalized,1550,116,True
sp_180_Normalized,1560,115,True
sp_139_Normalized,1565,119,True
sp_396_Normalized,1572,118,True
sp_394_Normalized,1574,118,True
sp_383_Normalized,1575,118,True
sp_395_Normalized,1576,120,True
sp_226_Normalized,1581,119,True
sp_387_Normalized,1585,120,True
sp_360_Normalized,1587,119,True
sp_54_Normalized,1597,118,True
sp_368_Normalized,1616,118,True
sp_406_Normalized,1632,119,True
sp_184_Normalized,1656,119,True
sp_107_Normalized,1660,118,True
sp_323_Normalized,1661,117,True
sp_19_Normalized,1661,117,True
sp_65_Normalized,1665,118,True
sp_388_Normalized,1670,125,True
sp_245_Normalized,1690,126,True
sp_182_Normalized,1716,124,True
sp_335_Normalized,1734,124,True
sp_419_Normalized,1746,118,True
sp_397_Normalized,1756,124,True
sp_117_Normalized,1761,120,True
sp_73_Normalized,1763,131,True
sp_178_Normalized,1769,124,True
sp_142_Normalized,1809,116,True
sp_369_Normalized,1812,118,True
sp_77_Normalized,1814,121,True
sp_76_Normalized,1820,122,True
sp_75_Normalized,1820,119,True
sp_389_Normalized,1829,120,True
sp_50_Normalized,1869,121,True
sp_8_Normalized,1876,118,True
sp_267_Normalized,1898,120,True
sp_64_Normalized,1925,118,True
sp_390_Normalized,1939,123,True
sp_1_Normalized,1942,115,True
sp_177_Normalized,2013,118,True
sp_27_Normalized,2017,113,True
sp_157_Normalized,2029,115,True
sp_111_Normalized,2143,119,True
sp_332_Normalized,2174,120,True
sp_296_Normalized,2213,118,True
sp_243_Normalized,2220,120,True
sp_112_Normalized,2220,121,True
sp_263_Normalized,2233,122,True
sp_118_Normalized,2254,119,True
sp_257_Normalized,2259,116,True
sp_106_Normalized,2358,115,True
sp_105_Normalized,2362,113,True
sp_103_Normalized,2364,116,True
sp_100_Normalized,2364,118,True
sp_99_Normalized,2368,119,True
sp_102_Normalized,2368,117,True
sp_116_Normalized,2387,125,True
sp_113_Normalized,2394,113,True
sp_2_Normalized,2412,116,True
sp_265_Normalized,2423,117,True
sp_286_Normalized,2476,118,True
sp_9_Normalized,2479,120,True
sp_258_Normalized,2590,117,True
sp_264_Normalized,2597,120,True
sp_143_Normalized,2628,116,True
sp_104_Normalized,2678,124,True
sp_98_Normalized,2684,117,True
sp_101_Normalized,2684,117,True
sp_344_Normalized,2730,129,True
sp_244_Normalized,2746,117,True
sp_127_Normalized,2766,126,True
sp_135_Normalized,2767,125,True
sp_402_Normalized,2768,117,True
sp_259_Normalized,2776,117,True
sp_3_Normalized,2822,118,True
sp_114_Normalized,2918,122,True
sp_128_Normalized,2934,118,True
sp_136_Normalized,2935,125,True
sp_93_Normalized,2938,119,True
sp_4_Normalized,2941,119,True
sp_202_Normalized,2944,137,True
sp_391_Normalized,2977,121,True
sp_350_Normalized,2983,119,True
sp_412_Normalized,2999,119,True
sp_197_Normalized,3187,123,True
sp_199_Normalized,3188,127,True
sp_401_Normalized,3246,117,True
sp_125_Normalized,3249,132,True
sp_292_Normalized,3273,118,True
sp_187_Normalized,3285,121,True
sp_121_Normalized,3291,116,True
sp_133_Normalized,3305,116,True
sp_393_Normalized,3309,120,True
sp_319_Normalized,3339,117,True
sp_25_Normalized,3408,127,True
sp_126_Normalized,3417,131,True
sp_210_Normalized,3430,124,True
sp_10_Normalized,3456,120,True
sp_357_Normalized,3458,122,True
sp_122_Normalized,3459,118,True
sp_134_Normalized,3473,117,True
sp_132_Normalized,3518,125,True
sp_152_Normalized,3530,115,True
sp_5_Normalized,3553,121,True
sp_131_Normalized,3560,114,True
sp_203_Normalized,3564,119,True
sp_291_Normalized,3613,116,True
sp_201_Normalized,3633,122,True
sp_376_Normalized,3638,117,True
sp_373_Normalized,3677,117,True
sp_6_Normalized,3709,116,True
sp_24_Normalized,3714,135,True
sp_23_Normalized,3721,122,True
sp_211_Normalized,3762,122,True
sp_377_Normalized,3763,120,True
sp_21_Normalized,3829,122,True
sp_300_Normalized,3857,141,True
sp_213_Normalized,3879,120,True
sp_212_Normalized,3879,123,True
sp_337_Normalized,3910,121,True
sp_361_Normalized,3912,119,True
sp_385_Normalized,3928,120,True
sp_191_Normalized,3965,121,True
sp_189_Normalized,3965,119,True
sp_119_Normalized,3976,125,True
sp_115_Normalized,3986,128,True
sp_120_Normalized,3989,116,True
sp_195_Normalized,4008,122,True
sp_7_Normalized,4017,117,True
sp_417_Normalized,4021,117,True
sp_20_Normalized,4022,119,True
sp_204_Normalized,4074,121,True
sp_374_Normalized,4129,118,True
sp_193_Normalized,4132,118,True
sp_163_Normalized,4259,117,True
sp_14_Normalized,4426,118,True
sp_181_Normalized,4444,123,True
sp_185_Normalized,4450,119,True
sp_170_Normalized,4476,124,True
sp_205_Normalized,4511,129,True
sp_415_Normalized,4517,120,True
sp_15_Normalized,4547,116,True
sp_183_Normalized,4606,121,True
sp_366_Normalized,4638,140,True
sp_400_Normalized,4698,131,True
sp_329_Normalized,4778,130,True
sp_179_Normalized,4925,118,True
sp_370_Normalized,5029,119,True
sp_169_Normalized,5186,124,True
sp_16_Normalized,5296,119,True
sp_340_Normalized,5315,127,True
sp_351_Normalized,5515,134,True
sp_308_Normalized,5620,129,True
sp_336_Normalized,5677,128,True
sp_302_Normalized,5721,124,True
sp_303_Normalized,5789,121,True
