error,taux,objectIds
maxProperties,28.57%,"sp_321_Normalized, sp_326_Normalized"
type,42.86%,"sp_351_Normalized, sp_307_Normalized, sp_353_Normalized"
minProperties,28.57%,"sp_348_Normalized, sp_347_Normalized"
