objectId;inSize;totalTime;generated;validated
kb_783_Normalized;145;8632;True;False;
kb_782_Normalized;145;8138;True;False;
kb_470_Normalized;146;8646;True;False;
kb_469_Normalized;146;9816;True;False;
kb_6_Normalized;1342168;9665;True;False;
Percentage of validated instances : 0%
