error;objectId;taux
type;sp_351_Normalized;14.00%
enum;sp_357_Normalized,sp_307_Normalized;28.00%
minProperties;sp_348_Normalized,sp_347_Normalized;28.00%
maxProperties;sp_321_Normalized,sp_326_Normalized;28.00%
